,text,id,section
0,PLANO DE TRABALHO PARA LUZINÓPOLIS/TO,"270,000,010,503",Titulo
1,AÇÕES E METAS ,"270,000,010,503",Titulo
2,COLIGAÇÃO ,"270,000,010,503",Titulo
3,“QUEM É DAQUI FAZ MELHOR” ,"270,000,010,503",Titulo
4,CANDIDATO ,"270,000,010,503",Titulo
5,PREFEITO JOSÉ DE ARIMATÉIA COELHO DAMACENO ,"270,000,010,503",Titulo
6,(ARY ALMEIDA) E JOSÉ MARCOS GOMES DA SILVA ,"270,000,010,503",Titulo
7,(NEGO MARCOS) ,"270,000,010,503",Titulo
8,LUZINÓPOLIS/TO,"270,000,010,503",Titulo
9,AGOSTO/2012 ,"270,000,010,503",Titulo
10, EDUCAÇÃO  - Valorizar a educação do Município com o desenvolvimento das ,"270,000,010,503",Educacion
11,seguintes ,"270,000,010,503",Educacion
12,ações ,"270,000,010,503",Educacion
13, Cumprimento do Piso Salarial para os Profissionais da Educação,"270,000,010,503",Educacion
14, Dar as condições necessárias para que seja Regulamentado o PCCS – Plano de ,"270,000,010,503",Educacion
15,Cargos e Carreiras e Salários dos Profissionais da Educação,"270,000,010,503",Educacion
16, Qualificação dos profissionais da educação com a participação nas formações ,"270,000,010,503",Educacion
17,continuadas,"270,000,010,503",Educacion
18, Retomada de imediato da construção da CRECHE,"270,000,010,503",Educacion
19, Buscar parceria com os Governos Estadual e Federal para adquirir bolsas para ,"270,000,010,503",Educacion
20,os Universitários do nosso Município,"270,000,010,503",Educacion
21, SAÚDE – investir na compra de equipamentos para melhor atendimento da ,"270,000,010,503",Salud
22,Comunidade ,"270,000,010,503",Salud
23, Compra de Aparelho de ultra-sonografia,"270,000,010,503",Salud
24, Compra de Aparelho de raio-x,"270,000,010,503",Salud
25, Compra de materiais para um melhor atendimento odontológico,"270,000,010,503",Salud
26, Compra de um(01) veículo para a saúde do Município,"270,000,010,503",Salud
27, SOCIAL – Apoiar de forma consistentes os programas sociais Federal e Estadual ,"270,000,010,503",Politica Social
28, Programa Bolsa família,"270,000,010,503",Politica Social
29, Programa Tocantins sem fome,"270,000,010,503",Politica Social
30, Programa PETI,"270,000,010,503",Politica Social
31, Programa CRAS,"270,000,010,503",Politica Social
32, Programa Pioneiros Mirins,"270,000,010,503",Politica Social
33, Construir a cobertura da academia da terceira idade e CRAS,"270,000,010,503",Politica Social
34, Criar o departamento de Identificação na Prefeitura tipo – Reservista ,"270,000,010,503",Politica Social
35,Identidade e Carteira de Trabalho e outros,"270,000,010,503",Politica Social
36, Outros,"270,000,010,503",Politica Social
37, INFRA-ESTRUTURA – Primar pela firmação de convênio junto ao Governo Federal ,"270,000,010,503",Infraestructura
38,Estadual como ,"270,000,010,503",Infraestructura
39, Recuperação das estradas vicinais do Município,"270,000,010,503",Infraestructura
40, Buscar convênio para pavimentação dos Bairros Setor Paraíso e Setor ,"270,000,010,503",Infraestructura
41,Tiradentes,"270,000,010,503",Infraestructura
42, Construção de praças nos setores Paraíso e Setor Tiradentes,"270,000,010,503",Infraestructura
43, Manutenção das vias já asfaltadas e calçadas no Município,"270,000,010,503",Infraestructura
44, Manutenção diário da limpeza urbana de todos os bairros da Cidade,"270,000,010,503",Infraestructura
45, Ampliação e modernização do Balneário Águas Lindas,"270,000,010,503",Infraestructura
46, Construção de banheiros para o público no Estádio Batistão,"270,000,010,503",Infraestructura
47, Calçamento do estacionamento do Estádio Batistão,"270,000,010,503",Infraestructura
48, Limpeza nos canteiros das praças no Município,"270,000,010,503",Infraestructura
49, Busca de convênio para construção de casas populares,"270,000,010,503",Infraestructura
50, Buscar convênio para o reflorestamento das margens dos córregos do nosso ,"270,000,010,503",Infraestructura
51,Município,"270,000,010,503",Infraestructura
52, Buscar parceria com o Governo Estadual e Federal para a construção de ,"270,000,010,503",Infraestructura
53,duas(02) quadras de esporte no Brejo Feio e Olho D’água,"270,000,010,503",Infraestructura
54, Construir o muro do cemitério do Povoado Olho D’água,"270,000,010,503",Infraestructura
55, Construir três(03) paradas dos ônibus um(01) no Povoado Brôco (01)um no ,"270,000,010,503",Infraestructura
56,Povoado Brejo Feio e (01) um no Povoado Olho D’água para os alunos deste ,"270,000,010,503",Infraestructura
57,Município,"270,000,010,503",Infraestructura
58, Buscar parceria junto ao Governo Estadual e Federal para a construção de ,"270,000,010,503",Infraestructura
59,um(01) centro Comunitário na Sede deste Município,"270,000,010,503",Infraestructura
60, Dar incentivos a instalação de empresas dentro do município com o intuito de ,"270,000,010,503",Infraestructura
61,gerar emprego e renda,"270,000,010,503",Infraestructura
62, Revitalizar o funcionamento da feira coberta nos finais de semanas,"270,000,010,503",Infraestructura
63, ESPORTE E CULTURA – desenvolver atividades na área esportiva e cultural ,"270,000,010,503",Deporte y Cultura
64, Criação de escolinha de futebol para as crianças,"270,000,010,503",Deporte y Cultura
65, Promover campeonatos de futebol de campo salão hendbol e vôlei tanto ,"270,000,010,503",Deporte y Cultura
66,masculino como feminino,"270,000,010,503",Deporte y Cultura
67, Dar suporte para as realizações das festas promovidas pelos evangélicos e católicos,"270,000,010,503",Deporte y Cultura
68, Reformar e funcionar o Centro de Informática para toda a comunidade em ,"270,000,010,503",Deporte y Cultura
69,geral,"270,000,010,503",Deporte y Cultura
70, JUVENTUDE - Dar suporte as ações e eventos que envolva a juventude local como ,"270,000,010,503",Juventud
71, Promover junta a Secretaria da Saúde ações referentes as drogas e DST,"270,000,010,503",Juventud
72, Apoiar os eventos promovidos pelos jovens das igrejas do nosso município ,"270,000,010,503",Juventud
73,como também das escolas,"270,000,010,503",Juventud
74, Criar a Secretaria da Juventude para subsidiar as ações desenvolvidas em ,"270,000,010,503",Juventud
75,nosso Município,"270,000,010,503",Juventud
76, PEQUENOS PRODUTORES – Incentivar os pequenos produtos com ,"270,000,010,503",Produccion
77, Doação de semente adubos e maquinários,"270,000,010,503",Produccion
78, Oferecer o acompanhamento técnico melhoria no desenvolvimento das ,"270,000,010,503",Produccion
79,atividades rurais,"270,000,010,503",Produccion
80, Buscar parceria junto ao Governo Estadual e Federal para melhoria de vida aos ,"270,000,010,503",Produccion
81,pequenos produtores,"270,000,010,503",Produccion
82, SERVIDORES DO MUNICÍPIO – Buscar e valorizar como forma de incentivos aos ,"270,000,010,503",Servidor Publico
83,servidores deste Município ,"270,000,010,503",Servidor Publico
84, Abrir dialogo com todos os servidores com salários defasados para um possível ,"270,000,010,503",Servidor Publico
85,reajuste,"270,000,010,503",Servidor Publico
86, Pagamento de forma digna das diárias dos motoristas deste Município,"270,000,010,503",Servidor Publico
87, Pagamento de gratificação de insalubridade aos servidores que atuam em ,"270,000,010,503",Servidor Publico
88,atividades de risco,"270,000,010,503",Servidor Publico
89,PLANO DE GOVERNO ,"210,000,011,182",Titulo
90,O  Partido  Democrático  Trabalhista  -  PDT  através  de ,"210,000,011,182",Introduccion
91,   ,"210,000,011,182",Vacio
92,seu diretório filiados militantes e  simpatizantes da cidade de Butiá ,"210,000,011,182",Introduccion
93,principalmente pela liderança de seu candidato à prefeito Carlinhos ,"210,000,011,182",Introduccion
94,da Charrua e seus candidatos a Vereadores do PDT e os partidos ,"210,000,011,182",Introduccion
95,coligados apresenta o seu  projeto de Plano de Governo firmado ,"210,000,011,182",Introduccion
96,para administrar o Município de Butiá,"210,000,011,182",Introduccion
97,    Este plano consiste de 12 princípios norteadores como ,"210,000,011,182",Introduccion
98,mostraremos à seguir,"210,000,011,182",Introduccion
99,1)  EDUCAÇÃO ,"210,000,011,182",Educacion
100,a) Promover a Educação Fundamental a todas as ,"210,000,011,182",Educacion
101,crianças do município,"210,000,011,182",Educacion
102,b) Erradicar o analfabetismo em todas as idades,"210,000,011,182",Educacion
103,c) Implantar em todas as escolas do município as ,"210,000,011,182",Educacion
104,“Escolas de Tempo Integral”,"210,000,011,182",Educacion
105,d) Oferecer  alimentação  integral  a  todos  os ,"210,000,011,182",Educacion
106,alunos desde o café da manhã almoço e café ,"210,000,011,182",Educacion
107,da tarde,"210,000,011,182",Educacion
108,e) Implantar cursos de formação profissional para ,"210,000,011,182",Educacion
109,jovens  e  adultos  em  convênios  com  SENAI e ,"210,000,011,182",Educacion
110,SENAC a fim de qualificar a mão de obra da ,"210,000,011,182",Educacion
111,comunidade Butianse,"210,000,011,182",Educacion
112,f)  Qualificar permanentemente os professores da ,"210,000,011,182",Educacion
113,Rede  Municipal  através  de  convênios  com  as ,"210,000,011,182",Educacion
114,Universidades,"210,000,011,182",Educacion
115,g) Dotar  todas  as  escolas  de  infra  estrutura ,"210,000,011,182",Educacion
116,adequada para as boas práticas da educação ,"210,000,011,182",Educacion
117,integral,"210,000,011,182",Educacion
118,h) Implantação  de  uniforme  escolar ,"210,000,011,182",Educacion
119,gratuitamente  para a Rede Pública Municipal ,"210,000,011,182",Educacion
120,de ensino,"210,000,011,182",Educacion
121, i)  Implantar  a  inclusão  digital  na  Rede  Pública ,"210,000,011,182",Educacion
122,Municipal de Ensino,"210,000,011,182",Educacion
123,j)  Instituir com depósito em folha de pagamento ,"210,000,011,182",Educacion
124,um  Vale  Refeição  de  R$  30000  (trezentos ,"210,000,011,182",Educacion
125,reais) aos professores como incentivo à classe,"210,000,011,182",Educacion
126,   ,"210,000,011,182",Vacio
127,2)  SAÚDE ,"210,000,011,182",Salud
128,a)  Garantir  à  Saúde  Pública  de  forma  plena  e ,"210,000,011,182",Salud
129,universal  como  direito  constitucional  do ,"210,000,011,182",Salud
130,cidadão,"210,000,011,182",Salud
131,b) Implantar um programa de prevenção à doença ,"210,000,011,182",Salud
132,através dos Agentes de Saúde,"210,000,011,182",Salud
133,c) Garantir  a  medicação  de  uso  contínuo  a ,"210,000,011,182",Salud
134,população,"210,000,011,182",Salud
